SIDE,HORIZON_W,STRENGTH_DIRECTION,REVERSAL_DECILE,N,TICKERS,REVERSAL_1W_MEAN,REVERSAL_2W_MEAN,REVERSAL_3W_MEAN,MFE_PCT_MEAN,MFE_PCT_MEDIAN,MAE_PCT_MEAN,MAE_PCT_MEDIAN,SPEED_PCT_PER_WEEK_MEAN,SPEED_PCT_PER_WEEK_MEDIAN,FINAL_DIRECTIONAL_RETURN_PCT_MEAN,FINAL_DIRECTIONAL_RETURN_PCT_MEDIAN,FAVORABLE_WEEKS_MEAN,FAVORABLE_WEEKS_MEDIAN,ADVERSE_WEEKS_MEAN,ADVERSE_WEEKS_MEDIAN,PATH_EFFICIENCY_MEAN,PATH_EFFICIENCY_MEDIAN,HAS_FAVORABLE_MOVE_MEAN,HAS_FAVORABLE_MOVE_MEDIAN
BUY,8,BEAR,1,1883,195,0.015932514678463853,0.009113937831155883,0.06183740908725809,11.388790473727653,8.744316147804243,6.17411708473896,3.4561174933709027,2.336866320609352,1.8760910472940928,4.996013627167313,3.8474604931002734,4.444503451938396,4.0,3.5326606479022837,4.0,0.36750695198950145,0.3219743779756612,0.8704195432819968,1.0
BUY,8,BEAR,2,1882,198,0.01763788143841293,0.024651945442984942,0.08694483749338065,10.886223804567193,7.5772663945658625,6.457887304496853,4.190484646256764,2.300435638090084,1.6449430589405623,4.4847236466018465,3.3184708872436963,4.361317747077577,4.0,3.618490967056323,4.0,0.36576839817425794,0.3231377885887206,0.8777895855472901,1.0
BUY,8,BEAR,3,1882,198,0.019251717097222745,0.03940007174820958,0.11260449712784115,10.728498181641623,7.876816144245346,6.260495697481535,4.173853021767865,2.1978984645788775,1.6559465838128244,4.483266326109198,3.0606721352380295,4.345908607863975,4.0,3.636556854410202,4.0,0.36724295123589196,0.3326256218110475,0.8676939426142402,1.0
BUY,8,BEAR,4,1883,198,0.022042450659044647,0.06352553059811925,0.14445639808441926,10.516250432373193,7.312106862730694,6.1850151811538625,3.952915258928336,2.1136135477245217,1.5474369374407344,4.476717991019685,3.2651488719763755,4.354753053637812,4.0,3.6250663834306955,4.0,0.3684078551652711,0.3293471958585773,0.8603292618162507,1.0
BUY,8,BEAR,5,1882,198,0.026209744235444494,0.09875731070232331,0.1861754395184761,10.332533108279517,6.974570351578535,6.608551363365419,4.340653727190052,2.2275087986500424,1.6136747491761825,3.280557310590781,2.0924673035531915,4.321997874601488,4.0,3.6641870350690753,4.0,0.36923183182403496,0.32517080995187514,0.844845908607864,1.0
BUY,8,BEAR,6,1882,198,0.03417207879790859,0.14572226508160668,0.24603022490109502,10.086691101822659,7.381031029903296,6.428521646554856,4.086515593172441,2.1531342078423417,1.5869847072340266,3.5637696042766214,2.582534408865456,4.371413390010627,4.0,3.6121147715196598,4.0,0.3711699187196167,0.33515343560260047,0.8629117959617428,1.0
BUY,8,BEAR,7,1883,198,0.05119533627866906,0.21416310207538494,0.3337562092086935,9.350024789957775,6.457519531249978,6.543167472857819,4.27636787532657,2.0454260998230085,1.432991227915964,2.586805507708372,1.7634875296446362,4.274561869357409,4.0,3.7089750398300585,4.0,0.36004344740275734,0.318840704903719,0.8459904407859798,1.0
BUY,8,BEAR,8,1882,197,0.09351198126432936,0.3144377653519413,0.4513069484469282,9.47491869439348,6.429147705295701,6.5952275924505495,4.4538049656086205,2.0187617406237157,1.495940133579975,2.6703582380828643,1.749519800578514,4.275239107332625,4.0,3.7045696068012752,4.0,0.36902812469055124,0.33709989299490845,0.8432518597236982,1.0
BUY,8,BEAR,9,1882,197,0.2184356282586078,0.47998272980108164,0.5959283901599894,8.8111662640032,6.183811045112908,6.570455507495306,4.39719562352755,1.936193312174156,1.4434177088963165,1.9588827410680416,1.4347789921438814,4.292773645058449,4.0,3.6907545164718383,4.0,0.36018199292971365,0.3269076717694718,0.8421891604675876,1.0
BUY,8,BEAR,10,1883,197,0.6000790999852732,0.7110699613069125,0.7650817230146175,8.21115571292286,5.908492843581281,6.037188830856397,3.986182709929198,1.8319191100524284,1.3820642682760038,1.882858772903715,1.6098528429934866,4.24907063197026,4.0,3.7387148167817315,4.0,0.36740614044132774,0.331664479383262,0.8374933616569304,1.0
BUY,8,BULL,1,2257,191,0.004772985730129525,0.034931161198356084,0.05298463514231862,10.076292078265496,6.978264407835155,5.842994288312113,3.8234673659129137,1.916467117648753,1.3914409742378804,4.1491886121558474,2.934121524586386,4.42002658396101,4.0,3.566238369517058,4.0,0.3769081071316452,0.3431916885204784,0.8591050066459902,1.0
BUY,8,BULL,2,2257,197,0.009373174181848364,0.04368852491273954,0.07252520868886228,8.411593212281998,5.54007126198941,6.799208751154127,4.515849055435828,1.7956372891372145,1.297270843614573,1.613674901709945,1.0111905332552906,4.19672131147541,4.0,3.787328311918476,4.0,0.3752290949839134,0.3554533075003509,0.8303057155516171,1.0
BUY,8,BULL,3,2256,197,0.012113502084494007,0.05039857534927083,0.08973744835706218,7.997493822250114,5.561076347058968,6.694811332203448,4.595522078999798,1.7697766722121955,1.2590784489733913,1.3309514599803418,0.8303106583743558,4.200797872340425,4.0,3.7828014184397163,4.0,0.36090200790559074,0.33554026924414326,0.8204787234042553,1.0
BUY,8,BULL,4,2257,197,0.015069723754475215,0.059761517000931304,0.10989932982508051,8.015928554175073,5.427625667426339,6.509716831729053,4.408914119777075,1.7976579916565183,1.2284384106651365,1.3850147925262077,1.178783489764168,4.182543198936641,4.0,3.8077093486929554,4.0,0.3616551893765244,0.3255973971529079,0.8382809038546744,1.0
BUY,8,BULL,5,2256,198,0.018432253830295023,0.0729922563112729,0.1354753531432899,8.216277568902845,5.464324622372773,6.251280082405394,4.266456975250099,1.790088086301848,1.2928720365633724,1.7881644126419134,0.970653445437275,4.200354609929078,4.0,3.7907801418439715,4.0,0.3633569570186075,0.33220377403949153,0.8311170212765957,1.0
BUY,8,BULL,6,2257,197,0.025251389449694125,0.09447631990566042,0.17309753328420602,7.96622396620723,5.66768045487922,6.329589536044093,4.011000204157567,1.7052835959425687,1.27131500254029,1.7760875573518442,1.6414180578913309,4.2272928666371286,4.0,3.761187416925122,4.0,0.3640447516255274,0.3327973132761249,0.8303057155516171,1.0
