SIDE,HORIZON_W,TARGET_METRIC,TARGET_VARIANT,FEATURE_SET,MODEL,FOLD,TRAIN_N,TEST_N,N_FEATURES,TRAIN_END,TEST_START,TEST_END,SPEARMAN,PEARSON,R2,MAE,RMSE,BASELINE_MAE,MAE_IMPROVEMENT_PCT
BUY,8,SPEED,COMPLETE,ALL,RF_V40_21,4,34701,5158,431,2025-10-31,2026-01-02,2026-07-03,0.19969225331702103,0.31454091944681967,0.08193737268447876,1.7771332263946533,2.7455011327960377,1.8280499304674376,2.785301606054311
SELL,5,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,1,6560,5130,423,2023-02-24,2023-04-07,2023-12-29,0.11634534651675227,0.1683401372362936,-0.008263349533081055,1.262129783630371,1.74920418219146,1.2592580752698233,-0.22804764304827002
SELL,5,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,2,11588,6909,423,2023-11-24,2024-01-05,2024-12-27,0.21639893371513605,0.24434600768400075,0.05854684114456177,1.3708853721618652,2.077206171880699,1.352805479990963,-1.3364739009649045
SELL,5,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,3,18409,6752,423,2024-11-22,2025-01-03,2025-12-26,0.2339392839945006,0.23687643298595643,0.051271677017211914,1.682474136352539,2.5598087599967987,1.6666271268627089,-0.9508431270803155
SELL,5,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,4,25245,3725,423,2025-11-21,2026-01-02,2026-07-03,0.2658331570615824,0.29861868388192375,0.08532094955444336,1.609545111656189,2.289246431323556,1.6514687835766102,2.5385688386810754
SELL,5,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,1,6560,5130,428,2023-02-24,2023-04-07,2023-12-29,0.11342053574367018,0.1689157912412656,-0.006147265434265137,1.2589479684829712,1.747367718428251,1.2592580752698233,0.024626150345362134
SELL,5,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,2,11588,6909,428,2023-11-24,2024-01-05,2024-12-27,0.2212903135744657,0.24542243525070476,0.05897378921508789,1.3683427572250366,2.0767350675524314,1.352805479990963,-1.1485226415683505
SELL,5,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,3,18409,6752,428,2024-11-22,2025-01-03,2025-12-26,0.23352248288069302,0.23611960717384772,0.0508350133895874,1.6829442977905273,2.5603977977615084,1.6666271268627089,-0.9790534826187689
SELL,5,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,4,25245,3725,428,2025-11-21,2026-01-02,2026-07-03,0.2635235703669581,0.29441632741762713,0.08234071731567383,1.6105531454086304,2.2929728051430818,1.6514687835766102,2.4775302188496857
SELL,5,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,1,6560,5130,426,2023-02-24,2023-04-07,2023-12-29,0.1110879352462761,0.16575657425541465,-0.01059567928314209,1.2641501426696777,1.7512262680112074,1.2592580752698233,-0.3884880705494981
SELL,5,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,2,11588,6909,426,2023-11-24,2024-01-05,2024-12-27,0.2192386438280064,0.2462059175887107,0.05921262502670288,1.370740532875061,2.0764714596369407,1.352805479990963,-1.3257673146192335
SELL,5,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,3,18409,6752,426,2024-11-22,2025-01-03,2025-12-26,0.234706976285696,0.23536562099976455,0.050743818283081055,1.6839706897735596,2.560520803404645,1.6666271268627089,-1.0406384626355245
SELL,5,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,4,25245,3725,426,2025-11-21,2026-01-02,2026-07-03,0.2641194504359679,0.29887543982595643,0.08581274747848511,1.6091793775558472,2.28863094284767,1.6514687835766102,2.5607148279954917
SELL,5,SPEED,CONDITIONAL,ALL,RF_V40_21,1,6560,5130,431,2023-02-24,2023-04-07,2023-12-29,0.11507411109232975,0.16993644941844485,-0.006015777587890625,1.259582281112671,1.7472535107143827,1.2592580752698233,-0.025745782315366828
SELL,5,SPEED,CONDITIONAL,ALL,RF_V40_21,2,11588,6909,431,2023-11-24,2024-01-05,2024-12-27,0.2184621390647885,0.24304418394056734,0.05764925479888916,1.3701382875442505,2.0781961299798164,1.352805479990963,-1.2812490642337777
SELL,5,SPEED,CONDITIONAL,ALL,RF_V40_21,3,18409,6752,431,2024-11-22,2025-01-03,2025-12-26,0.23173420135429929,0.2342971086877973,0.0502505898475647,1.68559992313385,2.5611859185397243,1.6666271268627089,-1.1383947834124117
SELL,5,SPEED,CONDITIONAL,ALL,RF_V40_21,4,25245,3725,431,2025-11-21,2026-01-02,2026-07-03,0.2681572139776538,0.2992338328183147,0.08606040477752686,1.6067248582839966,2.2883208964603288,1.6514687835766102,2.7093412686681875
SELL,5,SPEED,COMPLETE,TECH_PHASE,RF_V40_21,1,8673,7133,423,2023-02-24,2023-04-07,2023-12-29,-0.03204611710133102,0.034158626721013816,-0.09551811218261719,1.3471815586090088,1.7972235963447005,1.245361990080342,-8.175901411773296
SELL,5,SPEED,COMPLETE,TECH_PHASE,RF_V40_21,2,15786,9723,423,2023-11-24,2024-01-05,2024-12-27,0.10415755551579488,0.1696592203795989,0.02245420217514038,1.4016121625900269,2.02787147665479,1.3267138304432526,-5.6454022282824035
SELL,5,SPEED,COMPLETE,TECH_PHASE,RF_V40_21,3,25509,9789,423,2024-11-22,2025-01-03,2025-12-26,0.08501197908689434,0.13769564901050516,0.0064261555671691895,1.68406343460083,2.4688514978332075,1.566085584864225,-7.533295170891533
SELL,5,SPEED,COMPLETE,TECH_PHASE,RF_V40_21,4,35270,5158,423,2025-11-21,2026-01-02,2026-07-03,0.17794007673068377,0.2328688265837558,0.050380051136016846,1.6733506917953491,2.306984380807242,1.6546621568073387,-1.1294471751302875
SELL,5,SPEED,COMPLETE,TECH_PHASE_STRENGTH,RF_V40_21,1,8673,7133,428,2023-02-24,2023-04-07,2023-12-29,-0.03162731975732213,0.03191236401093184,-0.09476864337921143,1.3453549146652222,1.7966087475761285,1.245361990080342,-8.029225669432003
SELL,5,SPEED,COMPLETE,TECH_PHASE_STRENGTH,RF_V40_21,2,15786,9723,428,2023-11-24,2024-01-05,2024-12-27,0.10263709382072742,0.16989022714828036,0.023015379905700684,1.4010261297225952,2.02728929979414,1.3267138304432526,-5.601230466898425
SELL,5,SPEED,COMPLETE,TECH_PHASE_STRENGTH,RF_V40_21,3,25509,9789,428,2024-11-22,2025-01-03,2025-12-26,0.08356769682051304,0.1339125529724288,0.00476527214050293,1.685411810874939,2.4709140612155247,1.566085584864225,-7.619393675797048
SELL,5,SPEED,COMPLETE,TECH_PHASE_STRENGTH,RF_V40_21,4,35270,5158,428,2025-11-21,2026-01-02,2026-07-03,0.1738793444053601,0.22703731012571024,0.047222673892974854,1.6750205755233765,2.3108164871029135,1.6546621568073387,-1.230367095318066
SELL,5,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,1,8673,7133,426,2023-02-24,2023-04-07,2023-12-29,-0.03397584561974326,0.032421377823193674,-0.09559047222137451,1.3472682237625122,1.797282960439584,1.245361990080342,-8.182860444905327
SELL,5,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,2,15786,9723,426,2023-11-24,2024-01-05,2024-12-27,0.10202550507156599,0.16900034850056475,0.021943509578704834,1.4027899503707886,2.0284011817352456,1.3267138304432526,-5.734177045709928
SELL,5,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,3,25509,9789,426,2024-11-22,2025-01-03,2025-12-26,0.08577507395100793,0.13467919346367585,0.004857242107391357,1.6860730648040771,2.470799910869847,1.566085584864225,-7.661617034183653
SELL,5,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,4,35270,5158,426,2025-11-21,2026-01-02,2026-07-03,0.1736552506313992,0.22873092124192,0.048063039779663086,1.6750879287719727,2.309797099231428,1.6546621568073387,-1.2344376089464282
SELL,5,SPEED,COMPLETE,ALL,RF_V40_21,1,8673,7133,431,2023-02-24,2023-04-07,2023-12-29,-0.03211128027014891,0.03777203795322654,-0.08934974670410156,1.3427817821502686,1.7921568251814102,1.245361990080342,-7.822608434005732
